spec,geovar,term,coef,se,stat,p,n,collin,err,palier,mesure
rob1,ipd,I(ipd^2),0.0344973158539413,0.00747633606148749,4.61420080240183,3.94610776516433e-06,534884,"","",B,(palier commun)
rob1,polyarchy_dist,polyarchy_dist,-0.333246544020596,0.112191717055692,-2.9703310793895,0.00297478956258827,534884,"","",B,(palier commun)
rob1,polyarchy_dist,I(polyarchy_dist^2),0.552817721853116,0.164753690310013,3.35541935851568,0.000792447566140954,534884,"","",B,(palier commun)
rob1,polity_dist,polity_dist,0.0111823270389446,0.0058792880270379,1.90198659897573,0.0571729065834448,534884,"","",B,(palier commun)
rob1,polity_dist,I(polity_dist^2),-0.000387912657494583,0.00035663180587235,-1.08771189531376,0.276722314736774,534884,"","",B,(palier commun)
rob1,sanction_nontrade,sanction_nontrade,-0.0238724814239238,0.0193196833087658,-1.23565593919918,0.21658648195028,534884,I(sanction_nontrade^2),"",B,(palier commun)
rob1,n_common_sanctioners,n_common_sanctioners,0.0846336716421929,0.0145968700329677,5.79806982257458,6.70825232940076e-09,534884,"","",B,(palier commun)
rob1,n_common_sanctioners,I(n_common_sanctioners^2),-0.0231690412199395,0.00423631903621065,-5.46914456203565,4.5221280805641e-08,534884,"","",B,(palier commun)
rob2,ipd,ipd,0.0410738756943029,0.0157022248252369,2.61579974503283,0.00890187490570355,460843,"","",B,(palier commun)
rob2,polyarchy_dist,polyarchy_dist,0.0334681525228681,0.0599852132326699,0.557940044208099,0.576885325942262,460843,"","",B,(palier commun)
rob2,polity_dist,polity_dist,0.00527528215353025,0.00204071782573262,2.5850130218941,0.00973753196738365,460843,"","",B,(palier commun)
rob2,sanction_nontrade,sanction_nontrade,-0.0234174703174491,0.0194261093392846,-1.20546373483511,0.228024329848281,460843,"","",B,(palier commun)
rob2,n_common_sanctioners,n_common_sanctioners,0.0294478816421043,0.0141055083055953,2.08768666850688,0.0368261081981422,460843,"","",B,(palier commun)
rob3,ipd,ipd,-0.00462356860411747,0.0154417746677426,-0.299419509972255,0.764619977801342,389478,"","",B,(palier commun)
rob3,polyarchy_dist,polyarchy_dist,-0.0168956029691782,0.0609882094048547,-0.277030644677909,0.781756575610991,389478,"","",B,(palier commun)
rob3,polity_dist,polity_dist,0.00338047768059494,0.00184222766758473,1.83499452324856,0.0665065009440187,389478,"","",B,(palier commun)
rob3,sanction_nontrade,sanction_nontrade,-0.050696551293812,0.0203057862333586,-2.49665542181898,0.0125370715312583,389478,"","",B,(palier commun)
rob3,n_common_sanctioners,n_common_sanctioners,0.0261138985888761,0.0146067758185536,1.78779348113949,0.0738093329993682,389478,"","",B,(palier commun)
rob4,ipd,ipd,0.0329712308600374,0.0185874754863155,1.7738412558667,0.0760894118408422,513218,"","",B,(palier commun)
rob4,polyarchy_dist,polyarchy_dist,-0.0705261923124463,0.0643034396381618,-1.09677169229671,0.272741207618432,513218,"","",B,(palier commun)
rob4,polity_dist,polity_dist,0.0036277518719811,0.00251112632800569,1.444671194564,0.148550264657384,513218,"","",B,(palier commun)
rob4,sanction_nontrade,sanction_nontrade,-0.0241697542970216,0.0200507918569758,-1.20542642252868,0.228038726316755,513218,"","",B,(palier commun)
rob4,n_common_sanctioners,n_common_sanctioners,0.0279151676738362,0.0123946548033445,2.25219403982947,0.0243100125103478,513218,"","",B,(palier commun)
spec1,ipd,ipd,-0.0714237598208604,0.0149016040193992,-4.79302494737341,1.65144780761816e-06,596166,"","",C,(palier commun)
spec1,polyarchy_dist,polyarchy_dist,-0.435088354330272,0.0476254119472251,-9.13563445524427,6.93816113643852e-20,596166,"","",C,(palier commun)
spec1,sanction_nontrade,sanction_nontrade,-0.528281060790822,0.0255383529120162,-20.6857921734748,2.44398213089298e-94,596166,"","",C,(palier commun)
spec1,n_common_sanctioners,n_common_sanctioners,-0.080460540362289,0.0131236782075714,-6.13094431985306,8.85499718988404e-10,596166,"","",C,(palier commun)
spec2,ipd,ipd,0.0462565108750851,0.0300551668746053,1.53905353672047,0.123791226830261,776746,"","",C,(palier commun)
spec2,polyarchy_dist,polyarchy_dist,0.143044399113952,0.08996385519718,1.59002077890539,0.111830121376219,776746,"","",C,(palier commun)
spec2,sanction_nontrade,sanction_nontrade,0.0793760739060513,0.0429997065548272,1.84596780456727,0.0648968803185839,776746,"","",C,(palier commun)
spec2,n_common_sanctioners,n_common_sanctioners,0.0721077820856821,0.017838868654435,4.04217237553094,5.2958277581498e-05,776746,"","",C,(palier commun)
spec3,ipd,ipd,0.0622019917275955,0.0325814627636887,1.9091221342253,0.056246338014283,800780,"","",C,(palier commun)
spec3,polyarchy_dist,polyarchy_dist,0.166221508323052,0.0907743051644257,1.83115153591056,0.0670779281088746,800780,"","",C,(palier commun)
spec3,sanction_nontrade,sanction_nontrade,0.135900885332125,0.0606170176056312,2.24195928305619,0.0249640039704148,800780,"","",C,(palier commun)
spec3,n_common_sanctioners,n_common_sanctioners,0.0937087401712468,0.0245244918554803,3.82102678104241,0.000132897218185125,800780,"","",C,(palier commun)
spec4,ipd,ipd,-0.0230895667802131,0.0218386639337987,-1.05727927542666,0.29038414878847,778448,"","",C,(palier commun)
spec4,polyarchy_dist,polyarchy_dist,-0.0200414173530239,0.0605579336745108,-0.330946188830406,0.740685132270727,778448,"","",C,(palier commun)
spec4,sanction_nontrade,sanction_nontrade,-0.0803877356713086,0.0198847718903391,-4.04267829244572,5.28441022508245e-05,778448,"","",C,(palier commun)
spec4,n_common_sanctioners,n_common_sanctioners,0.0736385072441622,0.0173856513100557,4.23559094398554,2.27951419626142e-05,778448,"","",C,(palier commun)
spec5,ipd,ipd,-0.0230895667802131,0.0284408893641591,-0.811844049058128,0.416881122795841,778448,"","",C,(palier commun)
spec5,polyarchy_dist,polyarchy_dist,-0.0200414173530239,0.0664210987658302,-0.301732698275296,0.762855839709221,778448,"","",C,(palier commun)
